X,Y,U meas,U err,H meas,H err
71122.8984375,9514.505859375,0.231,0.0251,2.409,0.0254
71134.2890625,9519.048828125,0.338,0.0188,3.358,0.2305
71145.671875,9523.591796875,0.456,0.0545,3.621,0.1758
71157.0625,9528.1337890625,0.6,0.0056,3.701,0.296
71168.4453125,9532.6767578125,0.559,0.0541,3.594,0.1089
71179.8359375,9537.2197265625,0.532,0.0433,3.481,0.2931
71191.2265625,9541.7626953125,0.633,0.0304,3.759,0.2108
70583.296875,10120.126953125,0.241,0.0192,2.606,0.2005
70579.765625,10121.724609375,0.219,0.0358,2.87,0.138
70576.1640625,10123.35546875,0.184,0.0129,2.999,0.0588
69763.109375,10584.2802734375,0.307,0.0301,2.327,0.023
69762.046875,10585.3681640625,0.296,0.0233,2.282,0
69767.953125,10586.666015625,0.311,0.0054,3.108,0.0923
69775.671875,10583.2802734375,0.393,0.0404,2.086,0.1546
69780.390625,10581.2099609375,0.278,0.0178,2.368,0.0443
69781.5078125,10580.033203125,0.228,0.0149,2.267,0.0239
64594.484375,11953.9482421875,0.466,0.0609,0.906,0.0566
64604.40234375,11957.94140625,0.485,0.0087,0.939,0.0699
64674.796875,11822.1640625,0.643,0.0224,2.867,0.1911
64665.859375,11826.662109375,0.498,0.0637,2.749,0
66404.046875,12150.439453125,0.029,0.0021,0.354,0.0099
64691.64453125,11806.9501953125,0.571,0.0051,1.966,0.0364
64920.76953125,12008.4833984375,0.428,0.0525,1.377,0.087
67923.2890625,11443.0283203125,0.016,0.0005,0.239,0.0089
64743.6328125,11949.3662109375,0.502,0.0407,1.555,0.0288
64703.55859375,11820.0185546875,0.528,0.0106,2.531,0.0517
64745.62109375,11830.134765625,0.526,0.0319,2.815,0.2166
64789.296875,11965.326171875,0.441,0.0091,1.404,0.0954
64760.36328125,11833.76171875,0.615,0.0604,2.592,0.162
64809.00390625,11845.46875,0.581,0.0164,2.601,0.0531
64878.17578125,11840.568359375,0.367,0.049,1.608,0.0335
64851.3671875,11981.5478515625,0.426,0.0413,1.696,0.0883
64832.828125,11965.8095703125,0.442,0.0496,1.76,0.1531
64853.9609375,11862.2705078125,0.59,0.0562,2.877,0.1424
64858.265625,11984.572265625,0.45,0.0446,1.619,0.1322
64862.51953125,12030.5751953125,0.406,0.0352,1.492,0.0279
64890.45703125,12007.3271484375,0.322,0.0148,1.21,0.0382
67353.34375,11919.615234375,0.176,0.0281,2.081,0.1001
67372.6484375,12035.939453125,0.692,0.0912,3.437,0.033
67362.8359375,12047.3466796875,0.744,0.0078,3.141,0.1002
67384.53125,12038.09375,0.592,0.0488,2.916,0.1268
67388.3046875,11887.796875,0.238,0.0023,1.743,0.1298
67399.140625,12044.861328125,0.396,0.0082,2.655,0.0516
67396.828125,12032.0966796875,0.698,0.0776,3.366,0.0315
67427.296875,12045.61328125,0.044,0.0043,1.305,0.0123
67409.7265625,12046.8896484375,0.087,0.014,2.173,0.0604
67436.671875,11877.765625,0.524,0.0476,2.555,0
67520.4765625,11941.8564453125,0.484,0.0274,2.042,0.1178
68114.59375,11376.140625,0.312,0.0292,2.258,0.0418
67457.140625,11981.2861328125,0.537,0.0313,3.229,0.2216
67468.546875,11866.3916015625,0.623,0.083,3.129,0.0292
67874.296875,11705.458984375,0.339,0.0199,2.409,0.1136
67783.1953125,11792.572265625,0.285,0.0055,1.181,0.0227
64499.0703125,11810.4326171875,0.559,0.0883,2.832,0.0545
64506.4140625,11810.240234375,0.646,0.0239,2.742,0.1331
67883.5390625,11505.70703125,0.408,0.0515,2.263,0.1217
67868.890625,11500.7333984375,0.276,0.033,2.268,0.105
67825.1328125,11794.0693359375,0.039,0.0004,0.064,0.0032
67810.0390625,11799.8212890625,0.023,0.0027,0.369,0.0078
67826.2578125,11650.7626953125,0.49,0.0599,2.48,0.0241
67911.3515625,11494.4365234375,0.489,0.0046,2.357,0.131
64573.3125,11815.4287109375,0.562,0.0522,2.891,0.1101
68964.015625,10746.9091796875,0.002,0.0002,2.165,0.0221
67891.7578125,11543.419921875,0.486,0.0481,2.657,0.1771
65326.41015625,12169.5859375,0.26,0.0179,1.555,0.0845
67919.28125,11672.5966796875,0.291,0.0097,2.131,0.0861
67280.53125,12005.0068359375,0.471,0.0183,1.479,0.1233
70638.6796875,10008.943359375,0.005,0.0006,3.356,0.1459
70649.0859375,10010.9775390625,0.006,0.0008,3.38,0.1312
70601.7734375,10194.0458984375,0.693,0.0433,3.048,0.0302
70760.6796875,10141.1240234375,0.495,0.0315,2.124,0.0462
70916.9765625,9898.1005859375,0.713,0.0567,2.553,0.1264
71014.953125,9896.7236328125,0.7,0.0254,2.778,0.026
70997.546875,9887.015625,0.825,0.0682,2.763,0.0872
64451.94140625,11793.4345703125,0.621,0.0727,1.663,0.0471
65604.46875,12163.923828125,0.042,0.0034,2.68,0.0255
65805.625,12036.1884765625,0.001,0.0001,0.377,0.0211
70644.7734375,10099.6728515625,0.473,0.0328,2.82,0.2128
64485.19921875,11951.033203125,0.468,0.0547,0.944,0.0201
64469.51953125,11938.1728515625,0.411,0.058,1.203,0.0116
64554.2578125,11952.021484375,0.426,0.0137,1.011,0.0103
64849.30859375,11944.541015625,0.601,0.0527,2.21,0.13
64880.24609375,11900.9609375,0.622,0.0059,2.653,0
64899.5703125,11936.681640625,0.638,0.023,2.164,0
64904.828125,11947.5009765625,0.471,0.0712,2.518,0.1632
64936.796875,11909.2529296875,0.676,0.0119,2.719,0.1387
64958.83984375,11914.4140625,0.632,0.0862,2.885,0.1414
65889.4921875,12332.814453125,0.6,0.0706,3.847,0.2308
65927.7734375,12321.1220703125,0.723,0.0843,3.495,0.1059
65910.2890625,12332.9892578125,0.804,0.0987,3.848,0
65925.6875,12344.083984375,0.65,0.076,3.953,0.2984
65936.828125,12344.146484375,0.63,0.042,3.876,0.1477
66353.5,12357.0869140625,0.66,0.1053,2.038,0.04
66353.140625,12379.23046875,0.766,0.0368,2.101,0
66356.4375,12327.3974609375,0.599,0.0665,1.63,0.0968
66357.3984375,12398.82421875,0.667,0.0496,2.895,0.2144
66360.375,12347.09375,0.722,0.0675,1.893,0.15
66360.46875,12367.12890625,0.83,0.0291,2.187,0.0214
66373.9921875,12386.248046875,0.695,0.0645,2.506,0.1002
66428.8046875,12193.923828125,0.029,0.003,0.26,0.0025

