,x,y,U_scalar,U_scalar_error,H,H_err,VelX (m/s),VxErr (m/s),VelY (m/s),VyErr (m/s),VelZ (m/s),VzErr (m/s),u average (m/s),u std (m/s),u stderr (m/s),Total error ,Error (m/s),v average (m/s),v std (m/s),v stderr (m/s),Total error ,Error (m/s),w average (m/s),w std (m/s),w stderr (m/s),TKE 2d norm. (-),TKE 2d norm. Err (-),TKE norm. (-),TKE norm.Err (-)
PT1,363120.2,5350250.20468969,1.07163020593918,0.19893822,0.174,0.0174,-1.062,0.02,0.105,0.007,-0.465,0.031,1.0662875,0.019892423,0.179045797,0.19893822,0.186570901375098,0.106875,0.007479166,0.067317757,0.074796923,0.699854250292398,-0.4499875,0.033551344,0.301985686,0.018294539,0.0018294539,0.063892216,0.0063892216
PT2,363120.932448553,5350245.61272107,1.3005309117818,0.117153647,0.184,0.0184,-1.208,0.011,-0.47,0.005,1.728,0.019,1.21275,0.011714541,0.105439106,0.117153647,0.0966016466707895,-0.4697,0.004977054,0.044796982,0.049774036,-0.105969844581648,1.7305875,0.018984959,0.170877978,0.006562087,0.0006562087,0.021161729,0.0021161729
PT3,363123.593446038,5350245.91082399,1.15327058525417,0.224788535,0.227,0.0227,-1.049,0.023,-0.48,0.008,1.768,0.033,1.0486625,0.022477273,0.202311262,0.224788535,0.214357369506395,-0.4799375,0.007814717,0.070337944,0.078152661,-0.162839246776924,1.7677625,0.033269864,0.299452168,0.022938637,0.0022938637,0.067774437,0.0067774437
PT4,363115.189106312,5350263.3502325,0.610097159910821,0.072614452,0.084,0.0084,-0.569,0.007,-0.22,0.003,0.856,0.013,0.5691375,0.007260935,0.065353517,0.072614452,0.127586834464431,-0.219775,0.003449682,0.031049562,0.034499244,-0.156975288363099,0.8556375,0.012436039,0.1119331,0.002617579,0.0002617579,0.008882088,0.0008882088
PT5,363116.523611595,5350258.84478081,0.295170565362216,0.062343903,0.08,0.008,-0.21,0.006,-0.206,0.005,0.83,0.02,0.21255,0.006233952,0.056109951,0.062343903,0.293314057868737,-0.2048125,0.005214436,0.04693359,0.052148026,-0.254613492828807,0.826225,0.020457769,0.184134305,0.002675544,0.0002675544,0.019628265,0.0019628265
PT6,363118.93365155,5350259.35180154,0.513633713877166,0.120953143,0.194,0.0194,-0.486,0.012,-0.166,0.01,0.656,0.039,0.486125,0.012094464,0.108858679,0.120953143,0.248810785291849,-0.1658375,0.009687789,0.087196917,0.096884706,-0.584214704153162,0.65615,0.039046799,0.351448651,0.009726757,0.0009726757,0.071484834,0.0071484834
PT7,363121.473753692,5350259.85873667,1.11549633326661,0.174608309,0.31,0.031,-0.999,0.018,-0.499,0.01,1.918,0.049,1.002925,0.017459603,0.157148706,0.174608309,0.174099069222524,-0.4883375,0.011093677,0.099850894,0.110944571,-0.227188309314767,1.8771875,0.054485182,0.49040495,0.017332958,0.0017332958,0.137581466,0.0137581466
PT8,363117.892251091,5350254.82824097,0.324833271175383,0.198172232,0.196,0.0196,-0.308,0.019,0.074,0.01,-0.378,0.045,0.3158625,0.01981583,0.178356402,0.198172232,0.627400315010487,0.0758125,0.010330887,0.092985244,0.103316131,1.36278491014015,-0.3697375,0.044489415,0.40043602,0.020228631,0.0020228631,0.100403134,0.0100403134
PT9,363119.270446842,5350255.17352629,0.409119821423077,0.265361561,0.216,0.0216,-0.426,0.025,-0.047,0.01,0.288,0.035,0.406625,0.02653429,0.238827271,0.265361561,0.652595292960344,-0.0451125,0.009601042,0.086416125,0.096017167,-2.12839383762815,0.2771625,0.041683485,0.37518068,0.032253106,0.0032253106,0.102633377,0.0102633377
PT10,363121.888710629,5350255.40226505,1.29593760971786,0.237721349,0.426,0.0426,-1.108,0.021,-0.671,0.01,2.264,0.039,1.115925,0.023770463,0.213950886,0.237721349,0.213026277751641,-0.6589125,0.011120297,0.10009049,0.111210787,-0.168779294671144,2.20115,0.047823791,0.430447753,0.027896544,0.0027896544,0.120539178,0.0120539178
PT11,363121.920311249,5350255.13589516,1.17050154207502,0.195706889,0.427,0.0427,-1.032,0.02,-0.553,0.011,2.059,0.043,1.0319,0.019569313,0.176137576,0.195706889,0.189656835933715,-0.5525,0.010838142,0.097550896,0.108389038,-0.196179254298643,2.0594375,0.042951746,0.386595914,0.020270311,0.0020270311,0.094998512,0.0094998512
PT12,363122.410530157,5350255.56994594,1.08551924161032,0.153130879,0.416,0.0416,-0.968,0.015,-0.49,0.006,1.917,0.023,0.9684,0.015312011,0.137818868,0.153130879,0.158127714787278,-0.4904625,0.006302925,0.056730753,0.063033678,-0.128518853123327,1.91715,0.022733161,0.204614432,0.011106209,0.0011106209,0.032039742,0.0032039742
PT13,363122.835971634,5350255.6013266,0.733031669783953,0.167622267,0.382,0.0382,-0.717,0.015,-0.172,0.007,0.676,0.031,0.7117375,0.016761048,0.150861219,0.167622267,0.235511360578865,-0.1754,0.007682175,0.069144977,0.076827152,-0.438011128848347,0.6941375,0.032680435,0.2941469,0.013770068,0.0013770068,0.057031267,0.0057031267
PT14,363118.161228671,5350253.80120598,0.179629157050018,0.110807081,0.158,0.0158,-0.182,0.01,-0.038,0.007,0.209,0.03,0.1758375,0.011079929,0.099727152,0.110807081,0.630167518305253,-0.0367125,0.007410301,0.06669792,0.074108221,-2.01861003745318,0.213325,0.032223442,0.290033642,0.007197059,0.0007197059,0.049256815,0.0049256815
PT15,363121.920311249,5350255.13589516,1.18438624941887,0.131373651,0.406,0.0406,-1.037,0.013,-0.572,0.01,2.138,0.041,1.0373875,0.013136441,0.11823721,0.131373651,0.126638937716138,-0.5714875,0.010243077,0.092194895,0.102437972,-0.179247966053501,2.1384375,0.04039161,0.363552891,0.011239968,0.0011239968,0.077325321,0.0077325321
PT16,363117.895434099,5350263.80964404,0.886905761975307,0.086283848,0.169,0.0169,-0.828,0.009,-0.318,0.005,1.228,0.02,0.828625,0.008627778,0.07765607,0.086283848,0.104128946145723,-0.3162,0.005164222,0.046481628,0.05164585,-0.163332858950032,1.22065,0.020572722,0.185168968,0.004095503,0.0004095503,0.021239277,0.0021239277
PT17,363120.453293023,5350264.20782997,1.20189406693144,0.091235347,0.23,0.023,-1.133,0.009,-0.402,0.005,1.56,0.024,1.132725,0.009122893,0.082112454,0.091235347,0.0805450104835684,-0.40185,0.005452239,0.049073982,0.054526221,-0.135687995520717,1.5599125,0.023654573,0.212907789,0.004575355,0.0004575355,0.027240219,0.0027240219
PT18,363071.772330483,5350213.91693894,0.396552913398704,0.155594971,0.39,0.039,-0.375,0.016,-0.128,0.009,0.136,0.041,0.37525,0.015558403,0.140036568,0.155594971,0.414643493670886,-0.128225,0.009174267,0.082574857,0.091749124,-0.715532259699747,0.1357625,0.040915031,0.368264051,0.081023629,0.0081023629,0.013214424,0.0013214424
PT19,363071.800974847,5350216.10692341,0.875244207439415,0.124960603,0.297,0.0297,-0.865,0.012,-0.159,0.006,0.38,0.026,0.8604,0.012495182,0.112465421,0.124960603,0.145235475360298,-0.1605125,0.006083995,0.054760235,0.06084423,-0.379062253718558,0.3838125,0.026059896,0.234557385,0.035332161,0.0035332161,0.007823577,0.0007823577
PT20,363072.183619351,5350216.32307076,1.25225162457471,0.106017003,0.343,0.0343,-1.201,0.011,-0.356,0.005,1.17,0.025,1.200575,0.010600955,0.095416048,0.106017003,0.0883051895966516,-0.356025,0.004911402,0.04420607,0.049117472,-0.137960738712169,1.16995,0.024884081,0.223974224,0.030611426,0.0030611426,0.005529199,0.0005529199
PT21,363072.544242197,5350216.18089845,0.73044189889152,0.253644695,0.361,0.0361,-0.641,0.02,-0.401,0.012,1.853,0.06,0.6114125,0.025362686,0.228282009,0.253644695,0.414850358800319,-0.39965,0.011635118,0.104724243,0.116359361,-0.291153161516327,1.8448625,0.058275133,0.52451718,0.169099057,0.0169099057,0.031539921,0.0031539921
PT22,363072.269915178,5350217.02004804,0.974557312963173,0.114010069,0.278,0.0278,-0.851,0.011,-0.475,0.006,1.847,0.027,0.850725,0.011400205,0.102609864,0.114010069,0.134015185870875,-0.475425,0.006432092,0.057893349,0.064325441,-0.13530092233265,1.8471375,0.026633319,0.239718598,0.035672715,0.0035672715,0.006940212,0.0006940212
PT23,363072.031441458,5350217.98285811,1.00285443305908,0.110685446,0.219,0.0219,-0.913,0.011,-0.422,0.007,1.629,0.032,0.9091625,0.011067766,0.09961768,0.110685446,0.121744403228246,-0.42325,0.007356024,0.066209392,0.073565416,-0.173810787950384,1.634325,0.031418927,0.28279244,0.047139465,0.0047139465,0.007153683,0.0007153683
PT24,363062.55990463,5350213.53896048,0.816791878709014,0.123544484,0.172,0.0172,0.773,0.012,-0.272,0.006,1.041,0.024,0.770225,0.01235358,0.111190904,0.123544484,0.160400511538836,-0.27185,0.005440907,0.048971989,0.054412896,-0.200157792900497,1.03265,0.024802162,0.223236895,0.032298192,0.0032298192,0.007380836,0.0007380836
PT25,363067.137143865,5350214.07425727,0.986137879954548,0.111858599,0.225,0.0225,0.975,0.009,-0.124,0.005,0.393,0.023,0.978325,0.011185073,0.100673526,0.111858599,0.114336850228707,-0.1238875,0.005205286,0.046851231,0.052056517,-0.420191843406316,0.38665,0.022713082,0.20443371,0.027061669,0.0027061669,0.006165098,0.0006165098
PT26,363066.87900861,5350215.81322762,0.956839337104851,0.177765351,0.256,0.0256,0.957,0.018,0.002,0.009,-0.091,0.038,0.9568375,0.017775285,0.159990066,0.177765351,0.185784264308203,0.001875,0.008815689,0.079347398,0.088163087,47.0203130666667,-0.0910375,0.037841811,0.340602907,0.073951586,0.0073951586,0.015946415,0.0015946415
PT27,363077.411767582,5350212.21857655,0.518928470805467,0.072063766,0.096,0.0096,0.519,0.007,0.016,0.003,-0.077,0.015,0.5186875,0.00720587,0.064857896,0.072063766,0.138934842270153,0.0158125,0.003313188,0.029821025,0.033134213,2.09544430039526,-0.07705,0.015351465,0.138173978,0.012093944,0.0012093944,0.00254792,0.000254792
PT28,363077.288863141,5350214.39648054,0.651719176965816,0.05314505,0.131,0.0131,0.649,0.005,-0.062,0.003,0.199,0.016,0.648725,0.005314131,0.047830919,0.05314505,0.0819223091448611,-0.0624,0.003244399,0.029201873,0.032446272,-0.519972307692308,0.1990875,0.015539739,0.139868582,0.011351883,0.0011351883,0.001570273,0.0001570273
PT29,363076.987005157,5350216.37328031,0.767076054329035,0.136267492,0.146,0.0146,0.767,0.014,-0.009,0.008,-0.062,0.035,0.767025,0.013625791,0.122641701,0.136267492,0.177657171539389,-0.00885,0.008375953,0.07538947,0.083765423,-9.4650195480226,-0.06195,0.034648759,0.3118632,0.058991607,0.0058991607,0.010362279,0.0010362279
PT30,363081.86439346,5350216.83180221,0.88064199681965,0.150014194,0.118,0.0118,0.864,0.015,0.164,0.005,-0.744,0.025,0.8655125,0.015000365,0.135013829,0.150014194,0.173324121835329,0.1625375,0.005317217,0.047858691,0.053175908,0.327160858263478,-0.7341875,0.02641639,0.237766085,0.03852595,0.003852595,0.010259594,0.0010259594
PT31,363081.568590133,5350214.46217336,0.779053233599123,0.098918547,0.079,0.0079,0.77,0.009,0.157,0.004,-0.662,0.016,0.7631875,0.009891159,0.089027388,0.098918547,0.129612378347392,0.156425,0.003487871,0.031393289,0.03488116,0.222989675563369,-0.659375,0.015216319,0.136957572,0.013834395,0.0013834395,0.004455707,0.0004455707
PT32,363081.278841737,5350212.06829553,0.745356908006158,0.077811168,0.096,0.0096,0.722,0.008,0.186,0.004,-0.798,0.016,0.7216375,0.00778057,0.070030598,0.077811168,0.107825837764806,0.1865375,0.003652651,0.032876425,0.036529076,0.195826983850432,-0.7980375,0.015614931,0.140545361,0.012869071,0.0012869071,0.002992572,0.0002992572
PT33,363096.295873057,5350213.76797631,0.943055685822688,0.146153587,0.105,0.0105,0.945,0.015,0.021,0.005,-0.124,0.019,0.9428625,0.014614331,0.131539256,0.146153587,0.155010499410041,0.0190875,0.005308489,0.047780138,0.053088627,2.78132950884086,-0.1161875,0.020356534,0.183223119,0.026578114,0.0026578114,0.009792759,0.0009792759
PT34,363096.444406757,5350216.03030921,1.27825722482312,0.170884907,0.177,0.0177,1.254,0.017,0.236,0.005,-1.021,0.022,1.2561625,0.017087289,0.153797618,0.170884907,0.136037261898839,0.2366375,0.004756582,0.042812587,0.047569169,0.201021262479531,-1.012775,0.023305706,0.209767742,0.034744565,0.0034744565,0.012743313,0.0012743313
